transaction_id,id,customer_id,transaction_date,online_order,order_status,list_price,standard_cost
1,0,2950,2017-02-25,False,Approved,71.49,53.62
2,1,3120,2017-05-21,True,Approved,2091.47,388.92
3,2,402,2017-10-16,False,Approved,1793.43,248.82
4,3,3135,2017-08-31,False,Approved,1198.46,381.1
5,4,787,2017-10-01,True,Approved,1765.3,709.48
6,5,2339,2017-03-08,True,Approved,1538.99,829.65
7,6,1542,2017-04-21,True,Approved,60.34,45.26
8,7,2459,2017-07-15,False,Approved,1292.84,13.44
9,8,1305,2017-08-10,False,Approved,1071.23,380.74
10,9,3262,2017-08-30,True,Approved,1231.15,161.6
11,10,1986,2017-01-17,False,Approved,574.64,459.71
12,11,2783,2017-01-05,True,Approved,71.16,56.93
13,12,1243,2017-02-26,True,Approved,1057.51,154.4
14,13,2717,2017-09-10,False,Approved,1661.92,1479.11
15,14,247,2017-06-11,False,Approved,1765.3,709.48
16,1,2961,2017-10-10,False,Approved,2091.47,388.92
17,16,2426,2017-04-03,False,Approved,1555.58,818.01
18,17,1842,2017-06-02,False,Approved,1311.44,1167.18
19,18,2268,2017-04-06,True,Approved,1292.84,13.44
20,5,3002,2017-01-28,True,Approved,1538.99,829.65
21,20,1582,2017-10-09,False,Approved,499.53,388.72
22,2,595,2017-06-29,True,Approved,1793.43,248.82
23,2,2001,2017-04-08,True,Approved,1793.43,248.82
24,23,515,2017-10-18,False,Approved,1538.99,829.65
25,24,2822,2017-06-11,False,Approved,1362.99,57.74
26,25,2596,2017-01-10,False,Approved,1469.44,596.55
27,25,2666,2017-04-11,True,Approved,1469.44,596.55
28,27,76,2017-12-23,False,Approved,574.64,459.71
29,28,3368,2017-10-13,True,Approved,360.4,270.3
30,29,1173,2017-03-15,False,Approved,642.31,513.85
31,3,2810,2017-09-05,True,Approved,1198.46,381.1
32,31,3214,2017-02-18,False,Approved,1403.5,954.82
33,5,1272,2017-03-20,False,Approved,1538.99,829.65
34,33,2003,2017-02-28,True,Approved,1720.7,1531.42
35,34,2171,2017-08-20,False,Approved,544.05,376.84
36,35,3356,2017-07-07,False,Approved,1415.01,1259.36
37,36,1040,2017-01-09,False,Approved,1842.92,1105.75
38,0,2916,2017-12-06,False,Approved,71.49,53.62
39,9,427,2017-09-12,False,Approved,1231.15,161.6
40,34,2448,2017-11-28,True,Approved,544.05,376.84
41,40,2570,2017-05-08,True,Approved,1769.64,108.76
42,41,3398,2017-05-14,False,Approved,2083.94,675.03
43,42,488,2017-03-17,False,Cancelled,642.31,513.85
44,43,165,2017-12-22,False,Approved,1289.85,74.51
45,44,2787,2017-06-07,True,Approved,1894.19,598.76
46,45,3053,2017-06-20,False,Approved,1163.89,589.27
47,12,475,2017-05-07,True,Approved,1057.51,154.4
48,47,1305,2017-06-10,True,Approved,1151.96,649.49
49,48,1251,2017-06-17,False,Approved,235.63,125.07
50,49,3103,2017-05-10,False,Approved,642.7,211.37
51,50,3108,2017-03-24,False,Approved,1240.31,795.1
52,51,857,2017-11-27,False,Approved,1635.3,993.66
53,52,3455,2017-12-21,True,Approved,227.88,136.73
54,20,2549,2017-02-09,True,Approved,499.53,388.72
55,54,3140,2017-09-18,False,Approved,363.01,290.41
56,55,3406,2017-11-14,False,Approved,1720.7,1531.42
57,56,2294,2017-08-30,True,Approved,1635.3,993.66
58,57,1031,2017-11-14,False,Approved,100.35,75.26
59,58,993,2017-02-15,True,Approved,1458.17,874.9
60,59,3473,2017-12-18,False,Approved,1977.36,1759.85
61,60,1839,2017-02-24,False,Approved,12.01,7.21
62,17,1824,2017-12-18,True,Approved,1311.44,1167.18
63,62,368,2017-12-17,False,Approved,1403.5,954.82
64,63,2000,2017-07-08,False,Approved,499.53,388.72
65,64,825,2017-05-16,True,Approved,1216.14,1082.36
66,48,3315,2017-02-23,True,Approved,235.63,125.07
67,0,75,2017-07-03,True,Approved,71.49,53.62
68,67,1498,2017-09-30,True,Approved,1129.13,677.48
69,68,1612,2017-10-21,True,Approved,2091.47,388.92
70,20,2192,2017-05-06,True,Approved,499.53,388.72
71,18,419,2017-01-03,False,Approved,1292.84,13.44
72,71,3307,2017-05-09,True,Approved,1769.64,108.76
73,6,2430,2017-07-23,False,Approved,60.34,45.26
74,73,1506,2017-01-21,True,Approved,183.86,137.9
75,74,1346,2017-06-20,False,Approved,912.52,141.4
76,6,927,2017-03-10,False,Approved,60.34,45.26
77,76,763,2017-06-02,False,Approved,175.89,131.92
78,77,2397,2017-11-07,False,Approved,1073.07,933.84
79,78,102,2017-09-12,True,Approved,1179.0,707.4
80,79,2884,2017-12-16,False,Approved,958.74,748.9
81,80,759,2017-10-07,True,Approved,792.9,594.68
82,81,773,2017-04-27,True,Approved,1071.23,380.74
83,82,3398,2017-04-01,True,Approved,235.63,125.07
84,17,3297,2017-11-02,True,Approved,1311.44,1167.18
85,84,2434,2017-02-13,True,Approved,290.62,215.14
86,31,1861,2017-07-19,False,Approved,1403.5,954.82
87,20,1233,2017-05-23,False,Approved,499.53,388.72
88,87,1390,2017-08-06,False,Approved,752.64,205.36
89,60,2682,2017-04-04,True,Approved,12.01,7.21
90,89,439,2017-08-15,True,Approved,478.16,298.72
91,90,1579,2017-04-15,True,Approved,1024.66,614.8
92,91,2984,2017-07-25,True,Approved,1945.43,333.18
93,17,3470,2017-11-28,True,Approved,1311.44,1167.18
94,48,1,2017-12-23,False,Approved,235.63,125.07
95,94,757,2017-02-26,False,Approved,441.49,84.99
96,31,1778,2017-02-21,False,Approved,1403.5,954.82
97,77,211,2017-05-31,True,Approved,1073.07,933.84
98,97,333,2017-06-23,,Approved,533.51,400.13
99,98,32,2017-03-26,False,Approved,569.56,528.43
100,99,119,2017-07-31,False,Approved,478.16,298.72
101,100,2347,2017-07-27,False,Approved,1148.64,689.18
102,67,2353,2017-04-14,False,Approved,1129.13,677.48
103,17,788,2017-11-12,False,Approved,1311.44,1167.18
104,4,1468,2017-09-12,False,Approved,1765.3,709.48
105,24,821,2017-10-26,False,Approved,1362.99,57.74
106,105,2489,2017-02-15,False,Approved,495.72,297.43
107,16,2710,2017-12-22,False,Approved,1555.58,818.01
108,107,947,2017-10-11,True,Approved,1992.93,762.63
109,108,1335,2017-03-27,True,Approved,1812.75,582.48
110,109,1076,2017-11-04,False,Approved,945.04,507.58
111,110,3320,2017-06-11,True,Approved,71.16,56.93
112,80,779,2017-10-09,False,Approved,792.9,594.68
113,112,3296,2017-06-07,True,Approved,358.39,215.03
114,113,455,2017-10-24,True,Approved,1873.97,863.95
115,42,1779,2017-05-01,False,Approved,642.31,513.85
116,28,2703,2017-11-21,True,Approved,360.4,270.3
117,116,806,2017-03-24,False,Approved,1810.0,1610.9
118,117,22,2017-03-21,False,Approved,1775.81,1580.47
119,25,1591,2017-02-20,False,Approved,1469.44,596.55
120,119,678,2017-06-16,False,Approved,495.72,297.43
121,5,50,2017-12-04,False,Approved,1538.99,829.65
122,121,1038,2017-12-01,True,Approved,1777.8,820.78
123,87,1453,2017-03-05,True,Approved,752.64,205.36
124,123,1339,2017-03-21,False,Approved,795.34,101.58
125,124,3382,2017-01-03,True,Approved,575.27,431.45
126,125,773,2017-04-01,False,Approved,795.34,101.58
127,84,2503,2017-03-16,True,Approved,290.62,215.14
128,5,1057,2017-02-26,False,Approved,1538.99,829.65
129,76,1397,2017-06-05,False,Approved,175.89,131.92
130,40,2134,2017-09-04,False,Approved,1769.64,108.76
131,130,2403,2017-01-18,True,Approved,1172.78,1043.77
132,9,1937,2017-09-28,False,Approved,1231.15,161.6
133,132,1282,2017-09-02,True,Approved,1065.03,230.09
134,4,2183,2017-05-09,False,Approved,1765.3,709.48
135,80,1788,2017-10-17,False,Approved,792.9,594.68
136,135,1170,2017-04-25,True,Approved,1807.45,778.69
137,136,431,2017-09-23,False,Approved,1942.61,
138,137,1940,2017-08-02,False,Approved,1065.03,230.09
139,138,2073,2017-03-25,False,Cancelled,1179.0,707.4
140,139,462,2017-01-01,False,Approved,1274.93,764.96
141,140,2728,2017-12-22,False,Approved,1945.43,333.18
142,43,2053,2017-12-25,False,Approved,1289.85,74.51
143,59,2135,2017-01-26,True,Approved,1977.36,1759.85
144,143,1217,2017-12-20,False,Approved,1890.39,260.14
145,144,2992,2017-06-07,True,Approved,980.37,234.43
146,145,3261,2017-04-06,True,Approved,416.98,312.74
147,146,2748,2017-04-25,True,Approved,544.05,376.84
148,147,3262,2017-01-13,False,Approved,1386.84,1234.29
149,24,788,2017-03-21,False,Approved,1362.99,57.74
150,149,3067,2017-11-21,True,Approved,742.54,667.4
151,150,701,2017-11-11,False,Approved,230.91,173.18
152,35,648,2017-10-16,False,Approved,1415.01,1259.36
153,2,3286,2017-08-19,True,Approved,1793.43,248.82
